epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,486.164,1.23101,2.1407,2.15235,1.06055,0.55296,0.31914,0.33495,0.2179,0.55658,0.3022,0.32361,0.16778,1.34986,2.2398,2.32949,1.1339,0.000856132,0.000856132,0.000856132
75,492.659,1.21838,2.11637,2.10224,1.0498,0.55979,0.31627,0.33408,0.21621,0.64606,0.26773,0.31579,0.16466,1.30191,2.29745,2.27009,1.11013,0.000845025,0.000845025,0.000845025
76,499.099,1.24143,2.24526,2.17808,1.06635,0.58631,0.30539,0.33519,0.21803,0.6427,0.26948,0.3224,0.1664,1.30219,2.29148,2.24567,1.11694,0.000833917,0.000833917,0.000833917
77,505.425,1.17153,2.07197,2.05265,1.0359,0.62141,0.30287,0.34179,0.22254,0.62958,0.29143,0.33393,0.1736,1.29107,2.27414,2.26092,1.11944,0.000822809,0.000822809,0.000822809
78,511.891,1.2248,2.18963,2.13543,1.04833,0.63923,0.30146,0.34146,0.22041,0.64027,0.28876,0.33006,0.16938,1.28905,2.31408,2.25062,1.11288,0.000811701,0.000811701,0.000811701
79,518.239,1.18135,2.07885,2.03772,1.02993,0.61384,0.30072,0.34024,0.22125,0.62459,0.29751,0.33527,0.1701,1.30469,2.29563,2.26631,1.12182,0.000800593,0.000800593,0.000800593
80,524.643,1.21562,2.1278,2.07218,1.04815,0.60886,0.30862,0.34012,0.22022,0.60684,0.30645,0.33403,0.17219,1.30929,2.25987,2.21809,1.13455,0.000789486,0.000789486,0.000789486
81,531.037,1.22186,2.19453,2.0832,1.05686,0.60395,0.3133,0.33534,0.21764,0.61271,0.31154,0.33379,0.17201,1.30327,2.2332,2.19942,1.12603,0.000778378,0.000778378,0.000778378
82,537.498,1.19449,2.09539,2.03597,1.03864,0.6169,0.31036,0.34302,0.21827,0.61213,0.2984,0.33398,0.16466,1.30952,2.27442,2.20974,1.13109,0.00076727,0.00076727,0.00076727
83,543.818,1.21457,2.18019,2.07494,1.05621,0.60065,0.31269,0.3373,0.21919,0.60474,0.29927,0.33274,0.16939,1.32099,2.2336,2.21224,1.13284,0.000756162,0.000756162,0.000756162
84,550.112,1.18317,2.04008,1.97861,1.02717,0.63392,0.30131,0.33892,0.22146,0.63416,0.29809,0.33352,0.17518,1.31651,2.21839,2.22002,1.13975,0.000745055,0.000745055,0.000745055
85,556.426,1.19838,2.08758,2.08041,1.04996,0.56674,0.31708,0.33671,0.2194,0.56415,0.30745,0.33086,0.17381,1.3092,2.22734,2.23016,1.14205,0.000733947,0.000733947,0.000733947
86,562.806,1.23027,2.20366,2.1499,1.06818,0.5674,0.31676,0.33687,0.22161,0.53743,0.29781,0.32591,0.17159,1.2767,2.22439,2.21895,1.12932,0.000722839,0.000722839,0.000722839
87,569.425,1.24251,2.27348,2.11387,1.06733,0.52925,0.33286,0.33625,0.22031,0.53683,0.31389,0.32635,0.17442,1.27963,2.22507,2.22009,1.12109,0.000711731,0.000711731,0.000711731
88,575.713,1.18477,2.15993,2.05434,1.03528,0.57243,0.32972,0.34011,0.22229,0.55269,0.31448,0.32675,0.17272,1.29558,2.26694,2.23839,1.12426,0.000700623,0.000700623,0.000700623
89,582.03,1.17002,2.0407,1.9845,1.03012,0.53873,0.32614,0.34298,0.22888,0.55782,0.3069,0.3331,0.17822,1.28326,2.25861,2.21896,1.12379,0.000689516,0.000689516,0.000689516
90,588.348,1.1461,2.02902,1.94924,1.01858,0.53627,0.32058,0.34256,0.22988,0.52707,0.31066,0.33476,0.17866,1.2823,2.24026,2.2128,1.13053,0.000678408,0.000678408,0.000678408
91,594.667,1.1937,2.19519,2.03532,1.05265,0.54175,0.31853,0.3413,0.22958,0.52878,0.29452,0.32897,0.17746,1.28607,2.2556,2.22395,1.13338,0.0006673,0.0006673,0.0006673
92,601.033,1.16616,2.11151,1.99967,1.03099,0.53702,0.32087,0.33528,0.22163,0.52092,0.29624,0.32004,0.1647,1.2866,2.29652,2.25922,1.12779,0.000656192,0.000656192,0.000656192
93,607.436,1.1722,2.11047,1.99464,1.02886,0.53574,0.33081,0.33841,0.22088,0.52109,0.30716,0.32169,0.16307,1.29851,2.2853,2.19666,1.1199,0.000645085,0.000645085,0.000645085
94,613.856,1.19885,2.11599,2.00089,1.03853,0.61064,0.30949,0.33616,0.22128,0.58839,0.3052,0.32573,0.16929,1.28652,2.22022,2.15157,1.11148,0.000633977,0.000633977,0.000633977
95,620.152,1.16714,2.09964,2.00669,1.02228,0.60007,0.31692,0.33367,0.21818,0.62422,0.30143,0.32583,0.1687,1.30331,2.22187,2.17038,1.12045,0.000622869,0.000622869,0.000622869
96,626.58,1.17573,2.10588,1.95298,1.02586,0.64971,0.31125,0.3382,0.22184,0.6497,0.30185,0.3327,0.17618,1.2755,2.19929,2.13433,1.11155,0.000611761,0.000611761,0.000611761
97,632.7,1.12481,2.02409,1.89944,1.00872,0.58869,0.32375,0.33765,0.22459,0.59966,0.30979,0.33519,0.17274,1.27143,2.22846,2.13359,1.11718,0.000600653,0.000600653,0.000600653
98,639.169,1.19931,2.2284,2.02879,1.05528,0.60172,0.32206,0.34129,0.22524,0.59977,0.30706,0.33537,0.17218,1.27461,2.22374,2.10692,1.1257,0.000589546,0.000589546,0.000589546
99,645.503,1.1661,2.09304,1.97228,1.02998,0.62171,0.31884,0.34017,0.22542,0.60208,0.31183,0.33717,0.17427,1.2729,2.18388,2.12302,1.1279,0.000578438,0.000578438,0.000578438
100,651.982,1.17878,2.15352,1.92699,1.02784,0.63686,0.32264,0.34423,0.22303,0.6172,0.31592,0.33476,0.17583,1.26652,2.16807,2.11166,1.12906,0.00056733,0.00056733,0.00056733
101,658.506,1.18817,2.18059,1.98181,1.04142,0.64553,0.31972,0.3398,0.22057,0.62479,0.30895,0.3299,0.16993,1.27019,2.21429,2.1084,1.12694,0.000556222,0.000556222,0.000556222
102,664.99,1.14598,2.0512,1.91273,1.0125,0.64813,0.31607,0.3418,0.22158,0.5971,0.30392,0.32663,0.17003,1.2606,2.24318,2.09085,1.12021,0.000545115,0.000545115,0.000545115
103,671.439,1.10649,2.0518,1.87202,1.0134,0.5334,0.32146,0.34078,0.22563,0.5492,0.30161,0.32936,0.17201,1.25944,2.25232,2.09305,1.11876,0.000534007,0.000534007,0.000534007
104,677.832,1.19199,2.11834,1.9705,1.04115,0.5669,0.3169,0.34114,0.2237,0.64997,0.28746,0.32856,0.16989,1.27169,2.2571,2.10638,1.12475,0.000522899,0.000522899,0.000522899
105,684.042,1.11968,1.97187,1.86951,1.00724,0.55687,0.32796,0.34485,0.22479,0.61869,0.30043,0.33187,0.17209,1.28352,2.24832,2.10516,1.12729,0.000511791,0.000511791,0.000511791
106,692.884,1.12345,1.99729,1.83939,1.00076,0.55439,0.33579,0.34464,0.22592,0.65201,0.30151,0.33556,0.17498,1.2808,2.2357,2.08971,1.12138,0.000500683,0.000500683,0.000500683
107,699.272,1.11945,2.02753,1.82315,1.00612,0.57191,0.33024,0.34631,0.22952,0.57779,0.31562,0.33891,0.17511,1.27,2.24829,2.08966,1.1133,0.000489576,0.000489576,0.000489576
108,705.441,1.11027,1.96822,1.83584,0.99704,0.59834,0.31416,0.34237,0.2286,0.60697,0.29546,0.33258,0.17257,1.27477,2.27027,2.09639,1.11586,0.000478468,0.000478468,0.000478468
109,711.798,1.11875,2.03927,1.82334,1.00027,0.59355,0.31347,0.34102,0.22985,0.62004,0.29737,0.33489,0.17575,1.26994,2.25704,2.09845,1.11662,0.00046736,0.00046736,0.00046736
110,718.394,1.11679,2.00139,1.83461,1.00921,0.64709,0.29924,0.34564,0.22994,0.63619,0.30071,0.33895,0.17953,1.27249,2.22432,2.06403,1.1202,0.000456252,0.000456252,0.000456252
