    epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,293.004,1.31071,2.26909,1.18451,1.08638,0.62439,0.29149,0.3288,0.21553,0.56731,0.27972,0.30864,0.16722,1.31136,2.22505,1.22825,1.14655,0.000979362,0.000979362,0.000979362
52,299.888,1.34645,2.38443,1.21563,1.09487,0.61506,0.29927,0.33108,0.21564,0.5447,0.2879,0.31039,0.16351,1.3175,2.21575,1.22455,1.15416,0.00096561,0.00096561,0.00096561
53,305.511,1.33681,2.35035,1.23882,1.12222,0.59115,0.29967,0.33131,0.21738,0.53747,0.30045,0.31812,0.17364,1.31636,2.19358,1.21608,1.15752,0.000951857,0.000951857,0.000951857
54,310.721,1.2917,2.28132,1.21681,1.10058,0.56949,0.29283,0.33371,0.22137,0.54654,0.287,0.31675,0.16661,1.25664,2.21909,1.1747,1.14318,0.000938104,0.000938104,0.000938104
55,315.764,1.26115,2.18563,1.14794,1.07695,0.56458,0.29692,0.33273,0.21965,0.57014,0.27882,0.31049,0.15963,1.28942,2.25888,1.16058,1.14641,0.000924352,0.000924352,0.000924352
56,320.763,1.26384,2.23956,1.17461,1.06864,0.59829,0.28845,0.3329,0.22187,0.54347,0.27562,0.30781,0.16539,1.29159,2.27379,1.16751,1.15152,0.000910599,0.000910599,0.000910599
57,325.87,1.28831,2.30525,1.16955,1.08749,0.63081,0.28056,0.32343,0.21605,0.59855,0.2797,0.31552,0.17081,1.32616,2.25949,1.19102,1.15917,0.000896846,0.000896846,0.000896846
58,330.918,1.2566,2.18938,1.16467,1.07547,0.61781,0.28846,0.32797,0.21901,0.57581,0.28108,0.31632,0.17131,1.32266,2.30288,1.18163,1.15425,0.000883093,0.000883093,0.000883093
59,336.037,1.30606,2.23644,1.15755,1.07413,0.58903,0.2981,0.32663,0.2134,0.59225,0.26589,0.30473,0.15413,1.34429,2.45487,1.22199,1.15807,0.00086934,0.00086934,0.00086934
60,341.253,1.31963,2.29139,1.184,1.07769,0.58387,0.29401,0.31965,0.20995,0.52811,0.27475,0.30056,0.14992,1.38308,2.47724,1.26348,1.17505,0.000855588,0.000855588,0.000855588
61,346.396,1.25122,2.27453,1.16557,1.06775,0.59267,0.29169,0.32524,0.21576,0.576,0.27854,0.31313,0.16799,1.3135,2.32933,1.22639,1.15003,0.000841835,0.000841835,0.000841835
62,351.643,1.23653,2.20029,1.11352,1.07709,0.6038,0.2971,0.32802,0.21521,0.5706,0.27708,0.30791,0.16089,1.31437,2.37879,1.2252,1.14941,0.000828082,0.000828082,0.000828082
63,356.763,1.26681,2.26972,1.16901,1.07579,0.6787,0.28882,0.32969,0.21202,0.5974,0.2717,0.30554,0.15401,1.32934,2.36794,1.20837,1.15408,0.000814329,0.000814329,0.000814329
64,361.95,1.26808,2.28997,1.18045,1.07265,0.66142,0.28926,0.32616,0.21241,0.59818,0.28231,0.31154,0.15992,1.30674,2.25623,1.18944,1.14224,0.000800577,0.000800577,0.000800577
65,367.052,1.24731,2.20447,1.15385,1.06658,0.62285,0.30834,0.33483,0.21904,0.58868,0.3028,0.32309,0.17335,1.29094,2.19495,1.16691,1.13846,0.000786824,0.000786824,0.000786824
66,372.247,1.26688,2.28356,1.12555,1.07715,0.60264,0.30717,0.33373,0.21965,0.56807,0.30339,0.32187,0.17177,1.28236,2.19694,1.15615,1.1349,0.000773071,0.000773071,0.000773071
67,377.424,1.21174,2.17075,1.10193,1.05716,0.60953,0.30218,0.33492,0.21975,0.56548,0.29345,0.31589,0.16418,1.30139,2.26508,1.15126,1.14259,0.000759318,0.000759318,0.000759318
68,382.434,1.17703,2.16137,1.0755,1.04176,0.6326,0.30224,0.3384,0.22413,0.60592,0.28174,0.32372,0.16912,1.2911,2.20271,1.13285,1.15693,0.000745566,0.000745566,0.000745566
69,387.663,1.23661,2.18611,1.09542,1.04714,0.66964,0.28272,0.33572,0.22298,0.62735,0.27206,0.31947,0.17153,1.27448,2.21505,1.1334,1.14643,0.000731813,0.000731813,0.000731813
70,392.759,1.25703,2.21956,1.1084,1.06255,0.57146,0.30277,0.32742,0.21551,0.58478,0.27337,0.30743,0.16093,1.30434,2.25539,1.16568,1.15347,0.00071806,0.00071806,0.00071806
71,397.939,1.222,2.21335,1.08888,1.05211,0.59617,0.29605,0.32837,0.21686,0.54502,0.28876,0.30983,0.16401,1.28136,2.26785,1.14014,1.13901,0.000704307,0.000704307,0.000704307
72,403.17,1.22182,2.1729,1.05714,1.04391,0.60491,0.28611,0.33229,0.2203,0.57415,0.28616,0.31517,0.1672,1.27496,2.24353,1.13914,1.13559,0.000690555,0.000690555,0.000690555
